date,trips,member_trips
2014-04-15,1,1
2014-04-16,3,3
2014-04-17,3,3
2014-04-18,2,2
2014-04-19,1,1
2014-04-20,1,1
2014-04-22,5,5
2014-04-23,2,2
2014-04-24,2,2
2014-04-25,2,2
2014-04-26,1,1
2014-04-27,3,3
2014-04-28,1,1
2014-04-29,1,1
2014-04-30,2,2
2014-05-01,2,2
2014-05-02,3,3
2014-05-03,1,1
2014-05-04,2,2
2014-05-05,1,1
2014-05-06,2,2
2014-05-07,2,2
2014-05-08,2,2
2014-05-09,1,1
2014-05-10,3,3
2014-05-11,1,1
2014-05-12,1,1
2014-05-13,2,2
2014-05-14,1,1
2014-05-15,6,6
2014-05-17,7,7
2014-05-19,1,1
2014-05-20,4,4
2014-05-21,4,4
2014-05-22,2,2
2014-05-23,1,1
2014-05-24,2,2
2014-05-26,1,1
2014-05-27,1,1
2014-05-28,1,1
2014-05-29,8,6
2014-05-30,6,4
2014-05-31,2,2
2014-06-02,1,1
2014-06-03,3,3
2014-06-04,3,3
2014-06-05,2,2
2014-06-06,5,4
2014-06-07,4,4
2014-06-08,1,1
2014-06-10,2,2
2014-06-11,2,2
2014-06-13,1,1
2014-06-14,1,1
2014-06-15,5,5
2014-06-16,2,2
2014-06-17,2,2
2014-06-18,3,3
2014-06-19,4,3
2014-06-20,4,4
2014-06-21,3,3
2014-06-22,5,3
2014-06-23,1,1
2014-06-25,2,2
2014-06-26,2,2
2014-06-27,2,2
2014-06-28,3,3
2014-06-29,2,2
2014-07-01,4,4
2014-07-02,5,5
2014-07-03,6,6
2014-07-04,2,2
2014-07-05,6,6
2014-07-06,7,5
2014-07-07,2,2
2014-07-08,6,6
2014-07-09,3,3
2014-07-10,5,5
2014-07-11,5,5
2014-07-12,3,3
2014-07-13,1,1
2014-07-15,2,1
2014-07-16,10,5
2014-07-17,6,4
2014-07-18,2,2
2014-07-19,2,1
2014-07-20,3,3
2014-07-21,2,2
2014-07-22,7,6
2014-07-23,5,4
2014-07-24,6,4
2014-07-25,1,1
2014-07-26,5,5
2014-07-27,1,1
2014-07-28,1,1
2014-07-29,5,5
2014-07-30,4,4
2014-07-31,6,6
2014-08-01,5,4
2014-08-02,1,1
2014-08-03,8,3
2014-08-04,4,4
2014-08-05,3,1
2014-08-06,6,6
2014-08-07,3,2
2014-08-08,1,1
2014-08-09,2,2
2014-08-11,1,1
2014-08-12,1,1
2014-08-13,2,2
2014-08-14,2,2
2014-08-15,3,3
2014-08-17,3,2
2014-08-18,1,1
2014-08-19,6,6
2014-08-20,6,6
2014-08-21,4,4
2014-08-22,3,3
2014-08-23,5,5
2014-08-24,2,1
2014-08-25,2,1
2014-08-26,1,1
2014-08-27,3,1
2014-08-28,1,1
2014-08-29,8,6
2014-08-30,3,2
2014-08-31,2,1
2014-09-01,5,5
2014-09-02,6,6
2014-09-03,6,6
2014-09-04,5,5
2014-09-05,3,3
2014-09-06,2,2
2014-09-08,4,4
2014-09-09,5,5
2014-09-10,1,1
2014-09-11,5,5
2014-09-12,3,3
2014-09-15,3,3
2014-09-16,4,4
2014-09-18,4,4
2014-09-19,6,6
2014-09-20,1,1
2014-09-22,1,1
2014-09-23,5,5
2014-09-24,4,4
2014-09-25,3,3
2014-09-26,1,1
2014-09-27,2,2
2014-09-28,1,1
2014-09-29,2,0
2014-09-30,2,2
2014-10-01,3,3
2014-10-02,3,3
2014-10-03,5,5
2014-10-05,2,2
2014-10-06,3,3
2014-10-07,3,3
2014-10-08,1,1
2014-10-09,4,4
2014-10-10,1,1
2014-10-11,1,1
2014-10-12,4,2
2014-10-13,2,2
2014-10-14,7,7
2014-10-15,3,3
2014-10-16,1,1
2014-10-17,3,3
2014-10-18,2,2
2014-10-19,2,2
